age_grps,state_names,initial_period,accuracy_step,time_horizon,startYear,startMonth,monthlyBirths,xi,phi,q,gamma0,gammaR,omegaVac,lambda,sigmaR,pM,rho,omegaM,alpha,mortality,SigmaL,SigmaL,SigmaL,SigmaU,SigmaU,SigmaU,Omega,Omega,Omega,kaging,pLRTI,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,pVac,contact_adj,ns
1,MV0I0,0,20,7,2023,1,327692.7,0.017430872,-1.267470029,0.00222,3.381944444,7.609375,0,2,0.75,0.65,0.12950109,0.492610837,1,0.0004475,0.264682989,0.408265293,0.626995891,0.197534788,0.354228842,0.592933637,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,1.828573905
2,SV0I0,,,,,,,,,,,,,,,0.65,,,0.519809694,0.0004475,0.264682989,0.408265293,0.626995891,0.197534788,0.354228842,0.592933637,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
3,UV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.264682989,0.408265293,0.626995891,0.197534788,0.354228842,0.592933637,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
4,LV0I0,,,,,,,,,,,,,,,0.65,,,0.519809694,0.0004475,0.264682989,0.408265293,0.626995891,0.197534788,0.354228842,0.592933637,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
5,RV0I0,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.264682989,0.408265293,0.626995891,0.197534788,0.354228842,0.592933637,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
6,SV0IR,,,,,,,,,,,,,,,0.65,,,0.519809694,0.0004475,0.264682989,0.408265293,0.626995891,0.197534788,0.354228842,0.592933637,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
7,UV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.294743031,0.511047891,0.684690236,0.216773124,0.456991637,0.663080835,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
8,LV0IR,,,,,,,,,,,,,,,0.65,,,0.519809694,0.0004475,0.294743031,0.511047891,0.684690236,0.216773124,0.456991637,0.663080835,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
9,RV0IR,,,,,,,,,,,,,,,0.65,,,1,0.0004475,0.294743031,0.511047891,0.684690236,0.216773124,0.456991637,0.663080835,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
10,MV1I0,,,,,,,,,,,,,,,0.65,,,0.519809694,0.0004475,0.294743031,0.511047891,0.684690236,0.216773124,0.456991637,0.663080835,0.166666667,0.166666667,0.142857143,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.013918469,
